,date,platform,country,country_x_language,media,campaign_id,campaign_name,ad_id,ad_name,short_ad_name,ad_type,ad_creative_type,spend,impressions,clicks,installs,sales,purchases (D0),purchases (D7),purchases_value (D0),purchases_value (D7)
1931,2022-06-02,Android,AU,AU-de,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000190,DE_202108_C_S_MEAL-TRACKER_FEATURE-FOCUS_SUBTITLED,MEAL-TRACKER_FEATURE-FOCUS_SUBTITLED_DE,REWARD,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2710,2022-06-02,Android,AU,AU-de,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_000307,DE_202104_S_S_PHOTO-SCAN_VALUE-PROP_HOOK2,PHOTO-SCAN_VALUE-PROP_HOOK2_DE,REWARD,VIDEO_PLAY,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3717,2022-06-02,Android,AU,AU-de,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000302,DE_202112_C_XL_RECIPE-DEMO_CONVENIENCE_DARK,RECIPE-DEMO_CONVENIENCE_DARK_DE,GRAPHIC,PLAY,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
3772,2022-06-02,Android,AU,AU-de,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_001609,DE_202108_S_M_STREAK-REWARD_SOCIAL-PROOF_CTAEND,STREAK-REWARD_SOCIAL-PROOF_CTAEND_DE,GRAPHIC,VIDEO_PLAY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11876,2022-06-02,Android,AU,AU-de,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_000306,DE_202104_S_S_PHOTO-SCAN_VALUE-PROP_HOOK2,PHOTO-SCAN_VALUE-PROP_HOOK2_DE,GRAPHIC,PLAY,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
1036,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_002494,EN_202109_S_M_QUIZ-INTERACTIVE_CONVENIENCE_LOOPED,QUIZ-INTERACTIVE_CONVENIENCE_LOOPED_EN,REWARD,VIDEO_PLAY,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1849,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_000313,EN_202112_C_M_PRODUCT-DEMO_HOWTO_DARK,PRODUCT-DEMO_HOWTO_DARK_EN,REWARD,VIDEO_PLAY,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1857,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_001485,EN_202109_C_S_CHALLENGE-30D_ONBOARDING_CONCAT,CHALLENGE-30D_ONBOARDING_CONCAT_EN,REWARD,VIDEO_PLAY,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2292,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0004,acq_ww_applovin_and_display_perf_obj-b,ad_002482,EN_202109_S_M_QUIZ-INTERACTIVE_CONVENIENCE_LOOPED,QUIZ-INTERACTIVE_CONVENIENCE_LOOPED_EN,REWARD,VIDEO_PLAY,0.0,59.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
2776,2022-06-02,Android,AU,AU-en,applovin_int,cmp_0002,acq_ww_applovin_and_display_perf_obj-a,ad_001638,EN_202111_V_L_BEFORE-AFTER_SOCIAL-PROOF_LIGHT,BEFORE-AFTER_SOCIAL-PROOF_LIGHT_EN,GRAPHIC,VIDEO_PLAY,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
